Game Number,Final Step,Multiplier,Outcome,Winnings,Cost,Crash Point,Cashout Point,Used Bonus
8478,0,1.00,Crashed during move,0.00,1.00,1,20,
8479,11,8.29,Crashed during move,0.00,7.86,12,20,Mystic
8480,0,1.00,Crashed during move,0.00,1.00,5,20,
8481,3,1.78,Crashed during move,0.00,4.85,4,20,Mystic
8482,0,1.00,Crashed during move,0.00,1.00,2,20,
8483,20,46.82,Cashed out,46.82,106.09,33,20,Mystic
8484,20,46.82,Cashed out,46.82,88.38,22,20,Mystic
8485,12,10.05,Crashed during move,0.00,5.67,13,20,Mystic
8486,13,12.18,Crashed during move,0.00,4.85,14,20,Mystic
8487,3,1.78,Crashed during move,0.00,1.00,6,20,
8488,0,1.00,Crashed during move,0.00,1.00,1,20,
8489,20,46.82,Cashed out,46.82,31.20,24,20,Mystic
8490,20,46.82,Cashed out,46.82,179.93,29,20,Mystic
8491,15,17.90,Crashed during move,0.00,19.65,16,20,Mystic
8492,20,46.82,Cashed out,46.82,95.50,38,20,Mystic
8493,20,46.82,Cashed out,46.82,127.83,32,20,Mystic
8494,0,1.00,Crashed during move,0.00,1.00,1,20,
8495,0,1.00,Crashed during move,0.00,1.00,5,20,
8496,8,4.66,Crashed during move,0.00,4.85,10,20,Mystic
8497,0,1.00,Crashed during move,0.00,1.00,9,20,
8498,0,1.00,Crashed during move,0.00,1.00,1,20,
8499,3,1.78,Crashed during move,0.00,4.85,6,20,Mystic
8500,6,3.17,Crashed during move,0.00,4.85,7,20,Mystic
8501,10,6.84,Crashed during move,0.00,4.85,12,20,Mystic
8502,20,46.82,Cashed out,46.82,53.57,23,20,Mystic
8503,20,46.82,Cashed out,46.82,109.10,28,20,Mystic
8504,7,3.84,Crashed during move,0.00,4.85,10,20,Mystic
8505,4,2.16,Crashed during move,0.00,4.85,5,20,Mystic
8506,15,17.90,Crashed during move,0.00,19.65,16,20,Mystic
8507,8,4.66,Crashed during move,0.00,7.86,9,20,Mystic
8508,20,46.82,Cashed out,46.82,96.74,30,20,Mystic
8509,20,46.82,Cashed out,46.82,51.76,21,20,Mystic
8510,20,46.82,Cashed out,46.82,4.85,22,20,Mystic
8511,3,1.78,Crashed during move,0.00,1.00,6,20,
8512,6,3.17,Crashed during move,0.00,1.00,9,20,
8513,20,46.82,Cashed out,46.82,74.58,27,20,Mystic
8514,9,5.65,Crashed during move,0.00,4.85,10,20,Mystic
8515,0,1.00,Crashed during move,0.00,1.00,1,20,
8516,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
8517,20,46.82,Cashed out,46.82,107.13,30,20,Mystic
8518,20,46.82,Cashed out,46.82,86.79,24,20,Mystic
8519,20,46.82,Cashed out,46.82,56.22,27,20,Mystic
8520,14,14.77,Crashed during move,0.00,7.86,17,20,Mystic
8521,0,1.00,Crashed during move,0.00,1.00,6,20,
8522,10,6.84,Crashed during move,0.00,7.86,13,20,Mystic
8523,12,10.05,Crashed during move,0.00,19.65,14,20,Mystic
8524,0,1.00,Crashed during move,0.00,1.00,1,20,
8525,0,1.00,Crashed during move,0.00,1.00,2,20,
8526,8,4.66,Crashed during move,0.00,14.92,9,20,Mystic
8527,20,46.82,Cashed out,46.82,43.55,22,20,Mystic
8528,20,46.82,Cashed out,46.82,145.49,27,20,Mystic
8529,0,1.00,Crashed during move,0.00,1.00,1,20,
8530,8,4.66,Crashed during move,0.00,4.85,11,20,Mystic
8531,7,3.84,Crashed during move,0.00,4.85,12,20,Mystic
8532,10,6.84,Crashed during move,0.00,4.85,11,20,Mystic
8533,20,46.82,Cashed out,46.82,114.45,27,20,Mystic
8534,8,4.66,Crashed during move,0.00,4.85,12,20,Mystic
8535,14,14.77,Crashed during move,0.00,19.65,15,20,Mystic
8536,11,8.29,Crashed during move,0.00,7.86,14,20,Mystic
8537,0,1.00,Crashed during move,0.00,1.00,1,20,
8538,1,1.21,Crashed during move,0.00,1.00,2,20,
8539,0,1.00,Crashed during move,0.00,1.00,1,20,
8540,20,46.82,Cashed out,46.82,13.21,27,20,Mystic
8541,14,14.77,Crashed during move,0.00,13.21,16,20,Mystic
8542,20,46.82,Cashed out,46.82,44.37,25,20,Mystic
8543,0,1.00,Crashed during move,0.00,1.00,1,20,
8544,20,46.82,Cashed out,46.82,63.51,28,20,Mystic
8545,20,46.82,Cashed out,46.82,146.31,24,20,Mystic
8546,20,46.82,Cashed out,46.82,26.59,21,20,Mystic
8547,16,21.69,Crashed during move,0.00,22.78,17,20,Mystic
8548,15,17.90,Crashed during move,0.00,36.78,17,20,Mystic
8549,14,14.77,Crashed during move,0.00,6.66,15,20,Mystic
8550,6,3.17,Crashed during move,0.00,4.85,7,20,Mystic
8551,20,46.82,Cashed out,46.82,31.20,22,20,Mystic
8552,10,6.84,Crashed during move,0.00,1.00,13,20,
8553,0,1.00,Crashed during move,0.00,1.00,1,20,
8554,9,5.65,Crashed during move,0.00,1.00,10,20,
8555,10,6.84,Crashed during move,0.00,4.85,13,20,Mystic
8556,20,46.82,Cashed out,46.82,153.58,30,20,Mystic
8557,8,4.66,Crashed during move,0.00,4.85,13,20,Mystic
8558,11,8.29,Crashed during move,0.00,4.85,14,20,Mystic
8559,0,1.00,Crashed during move,0.00,1.00,1,20,
8560,9,5.65,Crashed during move,0.00,4.85,10,20,Mystic
8561,0,1.00,Crashed during move,0.00,1.00,2,20,
8562,20,46.82,Cashed out,46.82,71.78,29,20,Mystic
8563,0,1.00,Crashed during move,0.00,1.00,1,20,
8564,8,4.66,Crashed during move,0.00,7.86,10,20,Mystic
8565,0,1.00,Crashed during move,0.00,1.00,4,20,
8566,3,1.78,Crashed during move,0.00,4.85,6,20,Mystic
8567,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
8568,0,1.00,Crashed during move,0.00,1.00,1,20,
8569,0,1.00,Crashed during move,0.00,1.00,8,20,
8570,7,3.84,Crashed during move,0.00,4.85,9,20,Mystic
8571,18,31.87,Crashed during move,0.00,37.60,19,20,Mystic
8572,20,46.82,Cashed out,46.82,110.12,39,20,Mystic
8573,10,6.84,Crashed during move,0.00,4.85,12,20,Mystic
8574,6,3.17,Crashed during move,0.00,5.67,7,20,Mystic
8575,20,46.82,Cashed out,46.82,61.71,37,20,Mystic
8576,20,46.82,Cashed out,46.82,46.56,22,20,Mystic
8577,7,3.84,Crashed during move,0.00,4.85,9,20,Mystic
8578,8,4.66,Crashed during move,0.00,4.85,13,20,Mystic
8579,0,1.00,Crashed during move,0.00,1.00,1,20,
8580,9,5.65,Crashed during move,0.00,5.67,10,20,Mystic
8581,8,4.66,Crashed during move,0.00,4.85,10,20,Mystic
8582,0,1.00,Crashed during move,0.00,1.00,2,20,
8583,16,21.69,Crashed during move,0.00,22.78,17,20,Mystic
8584,14,14.77,Crashed during move,0.00,13.21,16,20,Mystic
8585,9,5.65,Crashed during move,0.00,4.85,10,20,Mystic
8586,0,1.00,Crashed during move,0.00,1.00,6,20,
